func_type,design_E_FP,n,r,L,K,m,S,rate,theorem_bound,proposition1_joint_average,negative_conditional_average,sample_count,sample_mean,q05,median,q95,sample_max,adversarial_verified,adversarial_fpr
exact-threshold,0.1,24,12,4096,2,24,276,0.191040104196715,0.0673828125,0.0655838251113892,0.0655849040409038,2000,0.065592041015625,0.064453125,0.065673828125,0.066650390625,0.0673828125,1,0.0673828125
exact-threshold,0.1,26,13,8192,2,26,325,0.180786143005427,0.0396728515625,0.0390453338623047,0.0390455229549849,2000,0.0390514526367187,0.03857421875,0.0390625,0.0394287109375,0.0396728515625,1,0.0396728515625
exact-threshold,0.1,28,14,16384,2,28,378,0.171691247216343,0.0230712890625,0.0228574424982071,0.0228574746851825,2000,0.0228540344238281,0.02264404296875,0.02288818359375,0.02301025390625,0.0230712890625,1,0.0230712890625
exact-threshold,0.1,30,15,32768,3,45,990,0.183061769877656,0.0604248046875,0.0297752180786688,0.0297752180795066,2000,0.0297925415039062,0.028289794921875,0.029754638671875,0.031341552734375,0.033416748046875,1,0.0604248046875
exact-threshold,0.1,32,16,65536,3,48,1128,0.174530078147536,0.034423828125,0.0170755721588591,0.0170755721589276,2000,0.0170774688720703,0.0162651062011719,0.01708984375,0.01788330078125,0.0191650390625,1,0.034423828125
exact-threshold,0.1,34,17,131072,4,68,2278,0.179043024742657,0.0521392822265625,0.0172370921936817,0.0172370921936817,2000,0.0172164764404297,0.0166393280029297,0.0172195434570312,0.0178070068359375,0.0184173583984375,1,0.0521392822265625
exact-threshold,0.1,36,18,262144,5,90,4005,0.180329252675824,0.0611114501953125,0.0151562610408291,0.0151562610408291,2000,0.0151581268310547,0.0147705078125,0.0151634216308594,0.0155448913574219,0.0158958435058594,1,0.0611114501953125
exact-threshold,0.1,38,19,524288,5,95,4465,0.172890937061341,0.0340652465820312,0.00848064336241805,0.00848064336241805,2000,0.00848129081726074,0.00827598571777344,0.00848007202148438,0.00869569778442383,0.00890541076660156,1,0.0340652465820312
exact-threshold,0.1,40,20,1048576,6,120,7140,0.172672264890213,0.0340461730957031,0.00678606936162396,0.00678606936162396,2000,0.00678342819213867,0.0066556453704834,0.00678110122680664,0.0069122314453125,0.00703716278076172,1,0.0340461730957031
id,0.1,24,12,4096,776,9312,1,0.549369805954512,0.189208984375,0.000244140625,0.000244140625,2000,0.0002330322265625,0,0.000244140625,0.000732421875,0.001220703125,1,0.189208984375
id,0.1,26,13,8192,1351,17563,1,0.542317372210261,0.164794921875,0.0001220703125,0.0001220703125,2000,0.00012249755859375,0,0.0001220703125,0.0003662109375,0.0006103515625,1,0.164794921875
id,0.1,28,14,16384,2352,32928,1,0.535965259531927,0.14349365234375,6.103515625e-05,6.103515625e-05,2000,6.060791015625e-05,0,6.103515625e-05,0.00018310546875,0.0003662109375,1,0.14349365234375
id,0.1,30,15,32768,4096,61440,1,0.530229686520284,0.124969482421875,3.0517578125e-05,3.0517578125e-05,2000,3.08685302734375e-05,0,3.0517578125e-05,9.1552734375e-05,0.00018310546875,1,0.124969482421875
id,0.1,32,16,65536,7131,114096,1,0.524996521520737,0.108795166015625,1.52587890625e-05,1.52587890625e-05,2000,1.51443481445313e-05,0,1.52587890625e-05,4.57763671875e-05,9.1552734375e-05,0,NaN
id,0.1,34,17,131072,12416,211072,1,0.520216931865808,0.0947189331054688,7.62939453125e-06,7.62939453125e-06,2000,7.59506225585938e-06,0,7.62939453125e-06,2.288818359375e-05,3.814697265625e-05,0,NaN
id,0.1,36,18,262144,21618,389124,1,0.515829734405285,0.0824623107910156,3.814697265625e-06,3.814697265625e-06,2000,3.87001037597656e-06,0,3.814697265625e-06,1.1444091796875e-05,2.288818359375e-05,0,NaN
id,0.1,38,19,524288,37640,715160,1,0.511787013712092,0.0717906951904297,1.9073486328125e-06,1.9073486328125e-06,200,1.91688537597656e-06,0,1.9073486328125e-06,5.7220458984375e-06,1.1444091796875e-05,0,NaN
id,0.1,40,20,1048576,65536,1310720,1,0.508048202372184,0.0624990463256836,9.5367431640625e-07,9.5367431640625e-07,200,8.82148742675781e-07,0,9.5367431640625e-07,2.86102294921875e-06,3.814697265625e-06,0,NaN
rank,0.1,24,12,4096,36,432,21,0.364786979256811,0.179443359375,0.00512576103210449,0.00512576103210449,2000,0.0051351318359375,0.00341796875,0.005126953125,0.007080078125,0.009033203125,1,0.179443359375
rank,0.1,26,13,8192,64,832,21,0.373093835313119,0.1614990234375,0.00256317853927612,0.00256317853927612,2000,0.00256683349609375,0.001708984375,0.0025634765625,0.0035400390625,0.0045166015625,1,0.1614990234375
rank,0.1,28,14,16384,112,1568,21,0.379096780146972,0.14227294921875,0.00128166377544403,0.00128166377544403,2000,0.00128524780273438,0.0008544921875,0.00128173828125,0.00177001953125,0.00225830078125,1,0.14227294921875
rank,0.1,30,15,32768,195,2925,21,0.383807363645271,0.12432861328125,0.000640850514173508,0.000640850514173508,2000,0.000640060424804688,0.00042724609375,0.000640869140625,0.000885009765625,0.001251220703125,1,0.12432861328125
rank,0.1,32,16,65536,339,5424,21,0.387660670723011,0.108306884765625,0.000320429913699627,0.000320429913699627,2000,0.000320335388183594,0.000213623046875,0.0003204345703125,0.0004425048828125,0.0005645751953125,1,0.108306884765625
rank,0.1,34,17,131072,591,10047,21,0.391014034159643,0.0945281982421875,0.000160216121003032,0.000160216121003032,2000,0.000161464691162109,0.0001068115234375,0.00016021728515625,0.00022125244140625,0.000335693359375,1,0.0945281982421875
rank,0.1,36,18,262144,1029,18522,21,0.393804229676008,0.0823516845703125,8.01083515398204e-05,8.01083515398204e-05,2000,8.08811187744141e-05,5.340576171875e-05,8.0108642578125e-05,0.000110626220703125,0.00014495849609375,1,0.0823516845703125
rank,0.1,38,19,524288,1792,34048,21,0.396191643039505,0.0717372894287109,4.00542485294864e-05,4.00542485294864e-05,2000,4.00171279907227e-05,2.6702880859375e-05,4.00543212890625e-05,5.340576171875e-05,7.05718994140625e-05,1,0.0717372894287109
rank,0.1,40,20,1048576,3120,62400,21,0.398231460215924,0.062464714050293,2.00271424546372e-05,2.00271424546372e-05,2000,2.01058387756348e-05,1.33514404296875e-05,2.00271606445312e-05,2.76565551757812e-05,3.62396240234375e-05,1,0.062464714050293
