family,scheme,snr_db,frames,negative_trials,positive_trials,fp,fn,fer,noiseless_fp,mean_iterations,balanced_error,noiseless_balanced_error,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events,balanced_error_lo95,balanced_error_hi95,balanced_error_events
exact,bfc,-5.5,10000,2700000,2700000,0.004745925925925926,0.9903140740740741,1.0,0.004742222222222222,50.0,0.49753,0.002371111111111111,0.004665546296296296,0.004825564814814815,12814,0.9901955370370371,0.9904374166666666,2673848,1.0,1.0,10000,0.4974564722222222,0.49760462962962965,2686662
exact,bfc,-4.9,10000,2700000,2700000,0.004711851851851852,0.7850655555555556,1.0,0.004742222222222222,50.0,0.3948887037037037,0.002371111111111111,0.004629629629629629,0.004794083333333333,12722,0.7828806666666667,0.7872422777777778,2119677,1.0,1.0,10000,0.3938287175925926,0.3959880925925926,2132399
exact,bfc,-4.8,10000,2700000,2700000,0.004685555555555556,0.5869059259259259,1.0,0.004742222222222222,50.0,0.2957957407407407,0.002371111111111111,0.0046048055555555556,0.004764453703703704,12651,0.5845118240740741,0.589337824074074,1584646,1.0,1.0,10000,0.2946095185185185,0.2969778981481482,1597297
exact,bfc,-4.7,10000,2700000,2700000,0.004739259259259259,0.35912481481481484,0.9992,0.004742222222222222,50.0,0.18193203703703703,0.002371111111111111,0.004658509259259259,0.004822972222222222,12796,0.35633157407407406,0.3618020648148148,969637,0.9986,0.9997,9992,0.18051573611111113,0.18329960185185187,982433
exact,bfc,-4.6,10000,2700000,2700000,0.004731111111111111,0.12493555555555555,0.9574,0.004742222222222222,49.983,0.06483333333333334,0.002371111111111111,0.004649259259259259,0.0048133333333333335,12774,0.12270419444444446,0.12713596296296298,337326,0.9536,0.9613025000000001,9574,0.06374373611111112,0.06598136574074075,350100
exact,bfc,-4.5,10000,2700000,2700000,0.004748148148148148,0.01808111111111111,0.5628,0.004742222222222222,49.4994,0.01141462962962963,0.002371111111111111,0.004665916666666666,0.004827046296296296,12820,0.017265185185185185,0.01886524074074074,48819,0.5532,0.5721,5628,0.011045689814814815,0.011783787037037037,61639
exact,bfc,-4.4,10000,2700000,2700000,0.0047425925925925925,0.0006896296296296297,0.0907,0.004742222222222222,46.6128,0.002716111111111111,0.002371111111111111,0.004659212962962963,0.004827037037037037,12805,0.00061,0.0007759259259259259,1862,0.0852,0.0964,907,0.0026568425925925926,0.002775393518518518,14667
exact,bfc,-4.3,10000,2700000,2700000,0.004742222222222222,1.1111111111111112e-05,0.0036,0.004742222222222222,42.0506,0.0023766666666666667,0.002371111111111111,0.004658518518518518,0.004824083333333334,12804,5.925925925925926e-06,1.7777777777777777e-05,30,0.0025,0.0048,36,0.002333699074074074,0.0024194444444444446,12834
exact,bfc,-4.2,10000,2700000,2700000,0.004742222222222222,0.0,0.0001,0.004742222222222222,37.8165,0.002371111111111111,0.002371111111111111,0.004658879629629629,0.004823342592592593,12804,0.0,0.00029952835977664627,0,0.0,0.0003,1,0.002330550925925926,0.0024131574074074073,12804
exact,bfc,-4.1,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,34.4544,0.002371111111111111,0.002371111111111111,0.004660722222222222,0.004824814814814815,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023294398148148146,0.002412962962962963,12804
