family,nt,mean,sample_max,bound,messages,fn,fp_count,negative_trials
id,28,5.126953125e-05,0.000244140625,0.4359130859375,200,0,168,3276800
id,30,2.8228759765625e-05,0.0001220703125,0.20343017578125,200,0,185,6553600
id,32,1.74713134765625e-05,6.103515625e-05,0.0953521728515625,200,0,229,13107200
id,34,6.4849853515625e-06,3.0517578125e-05,0.0448760986328125,200,0,170,26214400
id,36,4.100799560546875e-06,1.52587890625e-05,0.021190643310546875,200,0,215,52428800
id,38,1.8215179443359374e-06,7.62939453125e-06,0.010038375854492188,200,0,191,104857600
id,40,9.822845458984375e-07,3.814697265625e-06,0.004767417907714844,200,0,206,209715200
rank,28,0.0012769775390625,0.00213623046875,0.45758056640625,2000,0,41844,32768000
rank,30,0.0006411285400390625,0.0010986328125,0.213409423828125,2000,0,42017,65536000
rank,32,0.00032311248779296874,0.0006256103515625,0.0999755859375,2000,0,42351,131072000
rank,34,0.00015969467163085937,0.00026702880859375,0.0471038818359375,2000,0,41863,262144000
rank,36,8.049774169921875e-05,0.000152587890625,0.022190093994140625,2000,0,42204,524288000
rank,38,4.002857208251953e-05,6.866455078125e-05,0.010534286499023438,2000,0,41973,1048576000
rank,40,2.0236492156982422e-05,3.62396240234375e-05,0.004986763000488281,2000,0,42439,2097152000
exact,28,0.26203863525390625,0.27313232421875,1,2000,0,8586482,32768000
exact,30,0.14038555908203126,0.1478271484375,0.9063720703125,2000,0,9200308,65536000
exact,32,0.07284257507324218,0.0759735107421875,0.45318603515625,2000,0,9547622,131072000
exact,34,0.03706806564331055,0.03867340087890625,0.1888275146484375,2000,0,9717171,262144000
exact,36,0.018698635101318358,0.01963043212890625,0.09441375732421875,2000,0,9803470,524288000
exact,38,0.009402280807495117,0.009845733642578125,0.047206878662109375,2000,0,9859006,1048576000
exact,40,0.004709633350372314,0.0048980712890625,0.01888275146484375,2000,0,9876817,2097152000
