experiment,family,n_t,snr_db,frames,failed_frames,fn_count,failed_frames_without_fn,fer,fer_lower95,fer_upper95,source
rate_pareto,exact-threshold,42,1,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p1p0.mat
rate_pareto,exact-threshold,42,1.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p1p5.mat
rate_pareto,exact-threshold,42,2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p2p0.mat
rate_pareto,exact-threshold,42,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p2p5.mat
rate_pareto,exact-threshold,42,1,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p1p0.mat
rate_pareto,exact-threshold,42,1.5,2500,1,2,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p1p5.mat
rate_pareto,exact-threshold,42,2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p2p0.mat
rate_pareto,exact-threshold,42,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p2p5.mat
rate_pareto,exact-threshold,42,1,2500,1,383,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p0.mat
rate_pareto,exact-threshold,42,1.5,2500,1,381,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p5.mat
