family,epsilon,n_t,r,T,K,m,S,rate,bound,aligned
id,0.01,12,6,64,1,6,1,0.215413541726763,0.0,True
id,0.01,12,6,64,1,6,1,0.215413541726763,0.0,False
id,0.01,13,7,64,1,7,1,0.2159503786198157,0.0,True
id,0.01,13,7,64,1,7,1,0.2159503786198157,0.0,False
id,0.01,14,7,128,2,14,1,0.2719539230041146,0.0078125,True
id,0.01,14,7,128,2,14,1,0.2719539230041146,0.0078125,False
id,0.01,15,8,128,2,16,1,0.26666666666666666,0.0078125,True
id,0.01,15,8,128,2,16,1,0.26666666666666666,0.0078125,False
id,0.01,16,8,256,3,24,1,0.28656015629507225,0.0078125,True
id,0.01,16,8,256,3,24,1,0.28656015629507225,0.0078125,False
id,0.01,17,9,256,3,27,1,0.27969926483314517,0.0078125,True
id,0.01,17,9,256,3,27,1,0.27969926483314517,0.0078125,False
id,0.01,18,9,512,6,54,1,0.3197159723424149,0.009765625,True
id,0.01,18,9,512,6,54,1,0.3197159723424149,0.009765625,False
id,0.01,19,10,512,6,60,1,0.31088897871623783,0.009765625,True
id,0.01,19,10,512,6,60,1,0.31088897871623783,0.009765625,False
id,0.01,20,10,1024,11,110,1,0.339067985676233,0.009765625,True
id,0.01,20,10,1024,11,110,1,0.339067985676233,0.009765625,False
id,0.01,21,11,1024,11,121,1,0.3294696779654569,0.009765625,True
id,0.01,21,11,1024,11,121,1,0.3294696779654569,0.009765625,False
id,0.01,22,11,2048,21,231,1,0.3568976837007299,0.009765625,True
id,0.01,22,11,2048,21,231,1,0.3568976837007299,0.009765625,False
id,0.01,23,12,2048,21,252,1,0.34683825754347464,0.009765625,True
id,0.01,23,12,2048,21,252,1,0.34683825754347464,0.009765625,False
id,0.01,24,12,4096,41,492,1,0.37260477105580164,0.009765625,True
id,0.01,24,12,4096,41,492,1,0.37260477105580164,0.009765625,False
id,0.01,25,13,4096,41,533,1,0.36231966891036704,0.009765625,True
id,0.01,25,13,4096,41,533,1,0.36231966891036704,0.009765625,False
id,0.01,26,13,8192,82,1066,1,0.38684583549073753,0.0098876953125,True
id,0.01,26,13,8192,82,1066,1,0.38684583549073753,0.0098876953125,False
id,0.01,27,14,8192,82,1148,1,0.37647803432132176,0.0098876953125,True
id,0.01,27,14,8192,82,1148,1,0.37647803432132176,0.0098876953125,False
id,0.01,28,14,16384,164,2296,1,0.39874667595270313,0.00994873046875,True
id,0.01,28,14,16384,164,2296,1,0.39874667595270313,0.00994873046875,False
id,0.01,29,15,16384,164,2460,1,0.38842905518022763,0.00994873046875,True
id,0.01,29,15,16384,164,2460,1,0.38842905518022763,0.00994873046875,False
id,0.01,30,15,32768,328,4920,1,0.40881475334088674,0.009979248046875,True
