file,source_branch,source_commit,source_sha256,local_sha256,change
itw2027/matlab/noisy/K_calculator.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,1f7c19b879fe6db89aa23e189ecbd61d68ba5b2a04db08c1c95686eda0dffce5,3bd024ec7fd659a623d62762ca752dbe19b09b79924b25c91054fe47480b16b8,trailing whitespace normalization only
itw2027/matlab/noisy/bits_to_symbols_uint32.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,3acd5376df8e0285a074d594bc0792ce3e519fb667ea9da1af9073e7cbd3c1ea,3acd5376df8e0285a074d594bc0792ce3e519fb667ea9da1af9073e7cbd3c1ea,trailing whitespace normalization only
itw2027/matlab/noisy/build_valid_symbols_vec.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,e169895d48ff859a3e380328dbd12a7d1fd6116939bd7afdafd4e5239bfed610,e169895d48ff859a3e380328dbd12a7d1fd6116939bd7afdafd4e5239bfed610,trailing whitespace normalization only
itw2027/matlab/noisy/decode_bfc_tuples_vec.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,c8c8cf5b51c2240abc6c90fccac6513f45f03703526c2998fe9327bb513c683a,c8c8cf5b51c2240abc6c90fccac6513f45f03703526c2998fe9327bb513c683a,trailing whitespace normalization only
itw2027/matlab/noisy/decode_received_bfc.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,e178a1265512143a4a75152692bccbec19daabef9e425878f46e2217e31eeeca,e178a1265512143a4a75152692bccbec19daabef9e425878f46e2217e31eeeca,trailing whitespace normalization only
itw2027/matlab/noisy/derive_bfc_parameters.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,6274a5a94f04a5a3b7f2b3a65a24f5495f15a5ddf2efad241237c79a5b6fd782,6274a5a94f04a5a3b7f2b3a65a24f5495f15a5ddf2efad241237c79a5b6fd782,trailing whitespace normalization only
itw2027/matlab/noisy/dvbs2_ldpc_dimensions.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,eb0432d6f6fe326113b3037039707e1ed012dce69ce30f6cf2983ee4f4e269be,eb0432d6f6fe326113b3037039707e1ed012dce69ce30f6cf2983ee4f4e269be,trailing whitespace normalization only
itw2027/matlab/noisy/evaluate_boolean_function_vec.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,ee87a726723ec5b899a7158a6357eb57e9cafa71559911aff0d90c890d0414e5,57ff5fb09a67c8594ea80adbe549ab706554141a5786c1a64a6b83e174f93a7a,trailing whitespace normalization only
itw2027/matlab/noisy/evaluate_rs_positions_vec.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,5a9a4f743f3e28e742e8570bf9381f0832f5c0da54fe3495a5150cfe77692f35,5a9a4f743f3e28e742e8570bf9381f0832f5c0da54fe3495a5150cfe77692f35,trailing whitespace normalization only
itw2027/matlab/noisy/get_primpoly.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,741d827b2d29bc0afa63def3a1ad6f94f1f34e809f232a275215a26ed73c1344,741d827b2d29bc0afa63def3a1ad6f94f1f34e809f232a275215a26ed73c1344,trailing whitespace normalization only
itw2027/matlab/noisy/gf_mul_vec.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,7f4c13fdba206e2cfb73e2f40e19917a73761ec0ad3720a90403af3396947ba4,844a34725b654f8fafdf8ff778ace7bf8a0aa7c2aadeedf7d270f6693ffc8f9f,trailing whitespace normalization only
itw2027/matlab/noisy/gf_pow_vec.m,noisy_channel_revised,20ed9cd1a909836ab2907397c4c5ef7b9afa17e2,ecff83a2514a9594a9f7a93db3219aeed6d10c42ea927ff67dbc7060a44e108e,ecff83a2514a9594a9f7a93db3219aeed6d10c42ea927ff67dbc7060a44e108e,trailing whitespace normalization only
