snr_db,frames_per_function,id_failed_frames,id_fn_count,id_fer,rank_failed_frames,rank_fn_count,rank_fer,exact-threshold_failed_frames,exact-threshold_fn_count,exact-threshold_fer
0.5,2500,2500,983778,1.0,2500,978013,1.0,2500,965114,1.0
0.6,2500,2499,939749,0.9996,2500,934892,1.0,2498,921869,0.9992
0.7,2500,2272,549742,0.9088,2316,561871,0.9264,2255,522400,0.902
0.8,2500,507,36888,0.2028,485,35358,0.194,480,35245,0.192
0.9,2500,5,590,0.002,3,407,0.0012,5,84,0.002
1,2500,2,472,0.0008,0,0,0.0,2,775,0.0008
1.1,2500,0,0,0.0,1,377,0.0004,2,373,0.0008
1.2,2500,2,806,0.0008,0,0,0.0,2,435,0.0008
1.3,2500,0,0,0.0,3,1126,0.0012,0,0,0.0
1.4,2500,1,358,0.0004,0,0,0.0,1,68,0.0004
1.5,2500,0,0,0.0,0,0,0.0,0,0,0.0
1.6,2500,0,0,0.0,1,5,0.0004,0,0,0.0
1.7,2500,0,0,0.0,1,46,0.0004,1,21,0.0004
1.8,2500,1,1,0.0004,0,0,0.0,0,0,0.0
1.9,2500,0,0,0.0,1,6,0.0004,0,0,0.0
2,2500,0,0,0.0,1,1,0.0004,2,86,0.0008
2.1,2500,0,0,0.0,1,31,0.0004,1,134,0.0004
2.2,2500,0,0,0.0,1,1,0.0004,0,0,0.0
2.3,2500,0,0,0.0,0,0,0.0,0,0,0.0
2.4,2500,0,0,0.0,0,0,0.0,1,1,0.0004
2.5,2500,0,0,0.0,0,0,0.0,0,0,0.0
2.6,2500,0,0,0.0,0,0,0.0,0,0,0.0
