file,schema_version,func_type,E_FP_design,n,r,L,K,m,S,rate,theorem_bound,num_negative_messages,seed,shard_index,chunk_size,elapsed_seconds,git_commit,matlab_version,completed_at
results/evidence/noiseless/finite_length/exact-threshold_n024_M002000_seed0020563225_shard000.mat,1,exact-threshold,0.1,24,12,4096,2,24,276,0.19104010419671483,0.0673828125,2000,20563225,0,512,13.653324,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:09:06
results/evidence/noiseless/finite_length/exact-threshold_n026_M002000_seed0020563425_shard000.mat,1,exact-threshold,0.1,26,13,8192,2,26,325,0.1807861430054266,0.0396728515625,2000,20563425,0,512,12.531523,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:09:49
results/evidence/noiseless/finite_length/exact-threshold_n028_M002000_seed0020563625_shard000.mat,1,exact-threshold,0.1,28,14,16384,2,28,378,0.171691247216343,0.0230712890625,2000,20563625,0,512,13.907203,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:10:32
results/evidence/noiseless/finite_length/exact-threshold_n030_M002000_seed0020563825_shard000.mat,1,exact-threshold,0.1,30,15,32768,3,45,990,0.18306176987765582,0.0604248046875,2000,20563825,0,512,17.35742,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:11:23
results/evidence/noiseless/finite_length/exact-threshold_n032_M002000_seed0020564025_shard000.mat,1,exact-threshold,0.1,32,16,65536,3,48,1128,0.17453007814753613,0.034423828125,2000,20564025,0,512,24.795318,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:12:29
results/evidence/noiseless/finite_length/exact-threshold_n034_M002000_seed0020564225_shard000.mat,1,exact-threshold,0.1,34,17,131072,4,68,2278,0.17904302474265704,0.0521392822265625,2000,20564225,0,512,56.423123,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:13:58
results/evidence/noiseless/finite_length/exact-threshold_n036_M002000_seed0020564425_shard000.mat,1,exact-threshold,0.1,36,18,262144,5,90,4005,0.1803292526758243,0.0611114501953125,2000,20564425,0,512,107.244647,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:16:16
results/evidence/noiseless/finite_length/exact-threshold_n038_M002000_seed0020564625_shard000.mat,1,exact-threshold,0.1,38,19,524288,5,95,4465,0.17289093706134073,0.03406524658203125,2000,20564625,0,512,213.244449,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:20:20
results/evidence/noiseless/finite_length/exact-threshold_n040_M002000_seed0020564825_shard000.mat,1,exact-threshold,0.1,40,20,1048576,6,120,7140,0.17267226489021298,0.034046173095703125,2000,20564825,0,512,611.304477,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 22:31:01
results/evidence/noiseless/finite_length/id_n024_M002000_seed0020363225_shard000.mat,1,id,0.1,24,12,4096,776,9312,1,0.5493698059545118,0.189208984375,2000,20363225,0,512,111.96224,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 21:07:45
results/evidence/noiseless/finite_length/id_n026_M002000_seed0020363425_shard000.mat,1,id,0.1,26,13,8192,1351,17563,1,0.5423173722102607,0.164794921875,2000,20363425,0,512,396.652552,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 21:14:51
results/evidence/noiseless/finite_length/id_n028_M002000_seed0020363625_shard000.mat,1,id,0.1,28,14,16384,2352,32928,1,0.5359652595319274,0.14349365234375,2000,20363625,0,512,1506.061104,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,26-Aug-2026 21:40:25
results/evidence/noiseless/finite_length/id_n030_M002000_seed0020363825_shard000.mat,1,id,0.1,30,15,32768,4096,61440,1,0.5302296865202839,0.124969482421875,2000,20363825,0,512,8736.02609,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,28-Aug-2026 07:10:59
results/evidence/noiseless/finite_length/id_n032_M002000_seed0020364025_shard000.mat,1,id,0.1,32,16,65536,7131,114096,1,0.5249965215207372,0.108795166015625,2000,20364025,0,512,32560.398211,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,28-Aug-2026 16:14:20
results/evidence/noiseless/finite_length/id_n034_M002000_seed0020364225_shard000.mat,1,id,0.1,34,17,131072,12416,211072,1,0.5202169318658079,0.09471893310546875,2000,20364225,0,512,91504.239537,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,29-Aug-2026 17:40:06
results/evidence/noiseless/finite_length/id_n036_M002000_seed0020364425_shard000.mat,1,id,0.1,36,18,262144,21618,389124,1,0.5158297344052849,0.08246231079101562,2000,20364425,0,512,81729.135798,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,03-Sep-2026 17:30:35
results/evidence/noiseless/finite_length/id_n038_M000050_seed0020364625_shard000.mat,1,id,0.1,38,19,524288,37640,715160,1,0.5117870137120917,0.07179069519042969,50,20364625,0,512,97383.095608,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,03-Sep-2026 23:42:59
results/evidence/noiseless/finite_length/id_n038_M000050_seed0020364626_shard001.mat,1,id,0.1,38,19,524288,37640,715160,1,0.5117870137120917,0.07179069519042969,50,20364626,1,512,100590.333138,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,04-Sep-2026 00:38:48
results/evidence/noiseless/finite_length/id_n038_M000050_seed0020364627_shard002.mat,1,id,0.1,38,19,524288,37640,715160,1,0.5117870137120917,0.07179069519042969,50,20364627,2,512,97529.682821,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,03-Sep-2026 23:48:26
results/evidence/noiseless/finite_length/id_n038_M000050_seed0020364628_shard003.mat,1,id,0.1,38,19,524288,37640,715160,1,0.5117870137120917,0.07179069519042969,50,20364628,3,512,96289.369943,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,03-Sep-2026 23:32:37
results/evidence/noiseless/finite_length/id_n040_M000050_seed0020364825_shard000.mat,1,id,0.1,40,20,1048576,65536,1310720,1,0.5080482023721841,0.062499046325683594,50,20364825,0,512,160829.865566,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,06-Sep-2026 09:16:16
results/evidence/noiseless/finite_length/id_n040_M000050_seed0020364826_shard001.mat,1,id,0.1,40,20,1048576,65536,1310720,1,0.5080482023721841,0.062499046325683594,50,20364826,1,512,157966.034184,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,06-Sep-2026 08:28:33
results/evidence/noiseless/finite_length/id_n040_M000050_seed0020364827_shard002.mat,1,id,0.1,40,20,1048576,65536,1310720,1,0.5080482023721841,0.062499046325683594,50,20364827,2,512,137797.590345,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,06-Sep-2026 02:52:24
results/evidence/noiseless/finite_length/id_n040_M000050_seed0020364828_shard003.mat,1,id,0.1,40,20,1048576,65536,1310720,1,0.5080482023721841,0.062499046325683594,50,20364828,3,512,154205.937305,a9eee201f38657977cb681e5b9d3278d38895de3,24.2.0.2806996 (R2024b) Update 3,06-Sep-2026 07:25:49
