panel,family,sequence,n_t,E_2,rate,asymptotic
fixed,id,E2=0.1,24,0.1,0.5493698059545118,0.5
fixed,id,E2=0.1,26,0.1,0.5423173722102607,0.5
fixed,id,E2=0.1,28,0.1,0.5359652595319274,0.5
fixed,id,E2=0.1,32,0.1,0.5249965215207373,0.5
fixed,id,E2=0.1,34,0.1,0.5202169318658079,0.5
fixed,id,E2=0.1,38,0.1,0.5117870137120918,0.5
fixed,id,E2=0.1,40,0.1,0.5080482023721841,0.5
fixed,id,E2=0.1,44,0.1,0.5013507183073852,0.5
fixed,id,E2=0.1,48,0.1,0.49552001401242923,0.5
fixed,id,E2=0.1,52,0.1,0.490393058510844,0.5
fixed,id,E2=0.1,58,0.1,0.4837582924765397,0.5
fixed,id,E2=0.1,62,0.1,0.4799063915623781,0.5
fixed,id,E2=0.1,68,0.1,0.47481562996815435,0.5
fixed,id,E2=0.1,74,0.1,0.4703980184449591,0.5
fixed,id,E2=0.1,82,0.1,0.46533600005457126,0.5
fixed,id,E2=0.1,90,0.1,0.46102058995921863,0.5
fixed,id,E2=0.1,98,0.1,0.4572929575930077,0.5
fixed,id,E2=0.1,106,0.1,0.4540369854204055,0.5
fixed,id,E2=0.1,116,0.1,0.45049983616489286,0.5
fixed,id,E2=0.1,126,0.1,0.44743872955158664,0.5
fixed,id,E2=0.1,138,0.1,0.4442646699766534,0.5
fixed,id,E2=0.1,150,0.1,0.4415254579366392,0.5
fixed,id,E2=0.1,164,0.1,0.43876556100376884,0.5
fixed,id,E2=0.1,180,0.1,0.4360658505351649,0.5
fixed,id,E2=0.1,196,0.1,0.43374851961283273,0.5
fixed,id,E2=0.1,214,0.1,0.4315021821794447,0.5
fixed,id,E2=0.1,234,0.1,0.4293605329896727,0.5
fixed,id,E2=0.1,254,0.1,0.4275145066408353,0.5
fixed,id,E2=0.1,278,0.1,0.42560770170044426,0.5
fixed,id,E2=0.1,302,0.1,0.42396822761365927,0.5
fixed,id,E2=0.1,330,0.1,0.4223221885280177,0.5
fixed,id,E2=0.1,360,0.1,0.42081070304536017,0.5
fixed,id,E2=0.1,394,0.1,0.41934530918643753,0.5
fixed,id,E2=0.1,430,0.1,0.4180190531385801,0.5
fixed,id,E2=0.1,468,0.1,0.4168170186315885,0.5
fixed,id,E2=0.1,512,0.1,0.415625,0.5
fixed,id,E2=0.1,558,0.1,0.4145593571896581,0.5
fixed,id,E2=0.1,610,0.1,0.41352895972532827,0.5
fixed,id,E2=0.1,666,0.1,0.4125816491998067,0.5
fixed,id,E2=0.1,726,0.1,0.41171325859228064,0.5
fixed,id,E2=0.1,792,0.1,0.4108956522980803,0.5
fixed,id,E2=0.1,864,0.1,0.4101329716460225,0.5
fixed,id,E2=0.1,944,0.1,0.40940957950144263,0.5
fixed,id,E2=0.1,1030,0.1,0.4087460472058938,0.5
fixed,id,E2=0.1,1124,0.1,0.4081267138080258,0.5
fixed,id,E2=0.1,1226,0.1,0.40755280853482123,0.5
fixed,id,E2=0.1,1338,0.1,0.4070148448435288,0.5
fixed,id,E2=0.1,1462,0.1,0.4065073376169306,0.5
fixed,id,E2=0.1,1594,0.1,0.406046697562102,0.5
fixed,id,E2=0.1,1740,0.1,0.40561199516708973,0.5
fixed,id,E2=0.1,1900,0.1,0.40520620194906226,0.5
fixed,id,E2=0.1,2072,0.1,0.4048343669342117,0.5
fixed,id,E2=0.1,2262,0.1,0.40448425429442525,0.5
fixed,id,E2=0.1,2468,0.1,0.40416091032380447,0.5
fixed,id,E2=0.1,2694,0.1,0.40385877287879085,0.5
fixed,id,E2=0.1,2940,0.1,0.40357877565976996,0.5
fixed,id,E2=0.1,3210,0.1,0.40331724535265095,0.5
fixed,id,E2=0.1,3502,0.1,0.40307651723827354,0.5
fixed,id,E2=0.1,3822,0.1,0.40285193931527413,0.5
fixed,id,E2=0.1,4172,0.1,0.402642982608466,0.5
fixed,id,E2=0.1,4552,0.1,0.402449974701737,0.5
fixed,id,E2=0.1,4968,0.1,0.40227021929513296,0.5
fixed,id,E2=0.1,5422,0.1,0.402103395314983,0.5
fixed,id,E2=0.1,5918,0.1,0.40194844440371646,0.5
fixed,id,E2=0.1,6458,0.1,0.401805028139612,0.5
fixed,id,E2=0.1,7050,0.1,0.40167140532513096,0.5
fixed,id,E2=0.1,7694,0.1,0.40154789681755876,0.5
fixed,id,E2=0.1,8396,0.1,0.4014334786149705,0.5
fixed,id,E2=0.1,9162,0.1,0.40132737904906335,0.5
fixed,id,E2=0.1,10000,0.1,0.4012287712379549,0.5
fixed,id,E2=0.01,24,0.01,0.6393687784976246,0.5
fixed,id,E2=0.01,26,0.01,0.6323242781855891,0.5
fixed,id,E2=0.01,28,0.01,0.6259742303849383,0.5
fixed,id,E2=0.01,32,0.01,0.6149992137959452,0.5
fixed,id,E2=0.01,34,0.01,0.6102193745200094,0.5
fixed,id,E2=0.01,38,0.01,0.6017875088932011,0.5
fixed,id,E2=0.01,40,0.01,0.5980482020443754,0.5
fixed,id,E2=0.01,44,0.01,0.5913507118437817,0.5
fixed,id,E2=0.01,48,0.01,0.5855200509361101,0.5
fixed,id,E2=0.01,52,0.01,0.5803930712003809,0.5
fixed,id,E2=0.01,58,0.01,0.5737582930011583,0.5
fixed,id,E2=0.01,62,0.01,0.569906392094525,0.5
fixed,id,E2=0.01,68,0.01,0.5648156300178724,0.5
fixed,id,E2=0.01,74,0.01,0.5603980184542283,0.5
fixed,id,E2=0.01,82,0.01,0.555336000056307,0.5
fixed,id,E2=0.01,90,0.01,0.5510205899592183,0.5
