local,remote,bytes,sha256,reuse
results/source/noiseless/adversarial/adversarial_exact-threshold_n024.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n024.mat,21176,ca0c6bf7fcb8bf793db14e2b0c6b31280e577f77e831b37855813ae7b0046478,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n026.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n026.mat,21568,66f071866da773f26c2a7f021013d263c1d03219b92658fece3936a8421439af,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n028.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n028.mat,21992,b794ee59b190f6f9f7280b74012edc875488471f8b4ff5088da7e83f73659e33,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n030.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n030.mat,24411,7fe0862eb93723a66265dc16fcded40ef64bd56fd1617602cb51b40564f1a74a,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n032.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n032.mat,24844,8b619215398d2d9d0f4d9420cef4b838526a7b513021ac74ecf0f307f450a451,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n034.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n034.mat,32215,ab34d5756ed3be0e18de31a5a122bd1d21c675a040129f80bc67393f8fcfb049,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n036.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n036.mat,49891,03010651d85227300cc8feb54313e4a2a3272be6ae43f56b8d2e601a55a6ca48,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n038.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n038.mat,54073,bfccc1c6f75106d67263ed233bfaf9568d45f313e30e290e31226240fa612792,completed_evidence
results/source/noiseless/adversarial/adversarial_exact-threshold_n040.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_exact-threshold_n040.mat,94097,f4995789fcc45c86180362558c607df07bf27c87629f88700d539b26c4ce22de,completed_evidence
results/source/noiseless/adversarial/adversarial_id_n024.mat,/home/yangshuo/Git/ID_RS_code/conference_results/raw/adversarial/adversarial_id_n024.mat,25144,97dfe0d2df174a5d0c800f30a70bc7121d079093bf5fd021f7ba12a5877f44b7,completed_evidence
