JobID|State|Elapsed|MaxRSS
30503621_0|COMPLETED|00:13:52|
30503621_0.batch|COMPLETED|00:13:52|1186504K
30503621_0.extern|COMPLETED|00:13:52|
30503622_0|COMPLETED|01:07:28|
30503622_0.batch|COMPLETED|01:07:28|1228696K
30503622_0.extern|COMPLETED|01:07:28|
30503622_1|COMPLETED|01:09:00|
30503622_1.batch|COMPLETED|01:09:00|1216072K
30503622_1.extern|COMPLETED|01:09:00|
30503622_2|COMPLETED|00:55:44|
30503622_2.batch|COMPLETED|00:55:44|1216100K
30503622_2.extern|COMPLETED|00:55:44|
30503622_3|COMPLETED|00:35:17|
30503622_3.batch|COMPLETED|00:35:17|1211016K
30503622_3.extern|COMPLETED|00:35:17|
30503622_4|COMPLETED|00:54:59|
30503622_4.batch|COMPLETED|00:54:59|1217932K
30503622_4.extern|COMPLETED|00:54:59|
30503622_5|COMPLETED|00:50:33|
30503622_5.batch|COMPLETED|00:50:33|1223448K
30503622_5.extern|COMPLETED|00:50:33|
30503622_6|COMPLETED|00:27:28|
30503622_6.batch|COMPLETED|00:27:28|1224376K
30503622_6.extern|COMPLETED|00:27:28|
30503622_7|COMPLETED|00:46:16|
30503622_7.batch|COMPLETED|00:46:16|1243288K
30503622_7.extern|COMPLETED|00:46:16|
30503622_8|COMPLETED|00:52:57|
30503622_8.batch|COMPLETED|00:52:57|1260276K
30503622_8.extern|COMPLETED|00:52:57|
30503622_9|COMPLETED|00:47:34|
30503622_9.batch|COMPLETED|00:47:34|1277632K
30503622_9.extern|COMPLETED|00:47:34|
30503622_10|COMPLETED|00:50:24|
30503622_10.batch|COMPLETED|00:50:24|1247004K
30503622_10.extern|COMPLETED|00:50:24|
30503622_11|COMPLETED|00:40:08|
30503622_11.batch|COMPLETED|00:40:08|1246096K
30503622_11.extern|COMPLETED|00:40:08|
30503622_12|COMPLETED|00:51:04|
30503622_12.batch|COMPLETED|00:51:04|1241224K
30503622_12.extern|COMPLETED|00:51:04|
30503622_13|COMPLETED|00:26:42|
30503622_13.batch|COMPLETED|00:26:42|1230384K
30503622_13.extern|COMPLETED|00:26:42|
30503622_14|COMPLETED|00:29:23|
30503622_14.batch|COMPLETED|00:29:23|1215332K
30503622_14.extern|COMPLETED|00:29:23|
30503622_15|COMPLETED|00:29:12|
30503622_15.batch|COMPLETED|00:29:12|1220444K
30503622_15.extern|COMPLETED|00:29:12|
30503622_16|COMPLETED|00:32:25|
30503622_16.batch|COMPLETED|00:32:25|1217892K
30503622_16.extern|COMPLETED|00:32:25|
30503622_17|COMPLETED|00:24:40|
30503622_17.batch|COMPLETED|00:24:40|1224116K
30503622_17.extern|COMPLETED|00:24:40|
30503622_18|COMPLETED|00:26:06|
30503622_18.batch|COMPLETED|00:26:06|1223540K
30503622_18.extern|COMPLETED|00:26:06|
30503622_19|COMPLETED|00:26:05|
30503622_19.batch|COMPLETED|00:26:05|1228648K
30503622_19.extern|COMPLETED|00:26:05|
30503622_20|COMPLETED|00:22:46|
30503622_20.batch|COMPLETED|00:22:46|1232872K
30503622_20.extern|COMPLETED|00:22:46|
30503622_21|COMPLETED|00:34:01|
30503622_21.batch|COMPLETED|00:34:01|1215128K
30503622_21.extern|COMPLETED|00:34:01|
