source_file,function_type,function_label,n,E2,ldpc_code_rate,ebno_db,channel_uses_per_bfc_decision,parallel_bfc_rate,frames,stopping_mode,coded_false_positive_count,coded_negative_trials,coded_false_negative_count,coded_positive_trials,coded_fpr,coded_fnr,coded_max_fpr_fnr,coded_fp_plus_fn_over_trials,coded_max_ci95_lower,coded_max_ci95_upper,coded_max_zero_event_upper95,uncoded_false_positive_count,uncoded_negative_trials,uncoded_false_negative_count,uncoded_positive_trials,uncoded_fpr,uncoded_fnr,uncoded_max_fpr_fnr,uncoded_fp_plus_fn_over_trials,uncoded_max_ci95_lower,uncoded_max_ci95_upper,uncoded_max_zero_event_upper95,noiseless_false_positive_count,noiseless_negative_trials,noiseless_false_negative_count,noiseless_positive_trials,noiseless_fpr,noiseless_fnr,noiseless_max_fpr_fnr,noiseless_fp_plus_fn_over_trials,noiseless_max_ci95_lower,noiseless_max_ci95_upper,noiseless_max_zero_event_upper95
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.333333333333333,1,120,0.169349400790728,2500,fixed_frames,3,675000,0,675000,4.44444444444444e-06,0,4.44444444444444e-06,2.22222222222222e-06,0,1.03703703703704e-05,NaN,0,675000,608542,675000,0,0.901543703703704,0.901543703703704,0.450771851851852,0.900893333333333,0.902225185185185,NaN,3,675000,0,675000,4.44444444444444e-06,0,4.44444444444444e-06,2.22222222222222e-06,0,1.03703703703704e-05,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.333333333333333,1.5,120,0.169349400790728,2500,fixed_frames,3,675000,239,675000,4.44444444444444e-06,0.000354074074074074,0.000354074074074074,0.000179259259259259,1.48148148148148e-06,0.00106222222222222,NaN,0,675000,574243,675000,0,0.85073037037037,0.85073037037037,0.425365185185185,0.849856296296296,0.851592592592593,NaN,3,675000,0,675000,4.44444444444444e-06,0,4.44444444444444e-06,2.22222222222222e-06,0,1.03703703703704e-05,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.333333333333333,2,120,0.169349400790728,2500,fixed_frames,3,675000,0,675000,4.44444444444444e-06,0,4.44444444444444e-06,2.22222222222222e-06,0,1.03703703703704e-05,NaN,2,675000,528017,675000,2.96296296296296e-06,0.782247407407407,0.782247407407407,0.391125185185185,0.781256296296296,0.783222222222222,NaN,3,675000,0,675000,4.44444444444444e-06,0,4.44444444444444e-06,2.22222222222222e-06,0,1.03703703703704e-05,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.333333333333333,2.5,120,0.169349400790728,2500,fixed_frames,3,675000,127,675000,4.44444444444444e-06,0.000188148148148148,0.000188148148148148,9.62962962962963e-05,1.48148148148148e-06,0.000564444444444444,NaN,2,675000,472287,675000,2.96296296296296e-06,0.699684444444444,0.699684444444444,0.349843703703704,0.698577777777778,0.700733333333333,NaN,3,675000,0,675000,4.44444444444444e-06,0,4.44444444444444e-06,2.22222222222222e-06,0,1.03703703703704e-05,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.4,1,100,0.203219280948874,2500,fixed_frames,3,810000,0,810000,3.7037037037037e-06,0,3.7037037037037e-06,1.85185185185185e-06,0,8.64197530864197e-06,NaN,1,810000,730006,810000,1.23456790123457e-06,0.901241975308642,0.901241975308642,0.450621604938272,0.900604938271605,0.901875308641975,NaN,3,810000,0,810000,3.7037037037037e-06,0,3.7037037037037e-06,1.85185185185185e-06,0,8.64197530864197e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.4,1.5,100,0.203219280948874,2500,fixed_frames,3,810000,324,810000,3.7037037037037e-06,0.0004,0.0004,0.000201851851851852,1.23456790123457e-06,0.0012,NaN,2,810000,689206,810000,2.46913580246914e-06,0.850871604938272,0.850871604938272,0.425437037037037,0.850062962962963,0.851656790123457,NaN,3,810000,0,810000,3.7037037037037e-06,0,3.7037037037037e-06,1.85185185185185e-06,0,8.64197530864197e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.4,2,100,0.203219280948874,2500,fixed_frames,3,810000,0,810000,3.7037037037037e-06,0,3.7037037037037e-06,1.85185185185185e-06,0,8.64197530864197e-06,NaN,0,810000,634523,810000,0,0.783361728395062,0.783361728395062,0.391680864197531,0.782495061728395,0.784277777777778,NaN,3,810000,0,810000,3.7037037037037e-06,0,3.7037037037037e-06,1.85185185185185e-06,0,8.64197530864197e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.4,2.5,100,0.203219280948874,2500,fixed_frames,3,810000,16,810000,3.7037037037037e-06,1.97530864197531e-05,1.97530864197531e-05,1.17283950617284e-05,1.23456790123457e-06,5.92592592592593e-05,NaN,1,810000,567685,810000,1.23456790123457e-06,0.700845679012346,0.700845679012346,0.350423456790123,0.699835802469136,0.70183950617284,NaN,3,810000,0,810000,3.7037037037037e-06,0,3.7037037037037e-06,1.85185185185185e-06,0,8.64197530864197e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.5,1,80,0.254024101186092,2500,fixed_frames,3,1012500,472,1012500,2.96296296296296e-06,0.000466172839506173,0.000466172839506173,0.000234567901234568,9.87654320987654e-07,0.00126617283950617,NaN,0,1012500,912883,1012500,0,0.901612839506173,0.901612839506173,0.450806419753086,0.901021234567901,0.902214320987654,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.5,1.5,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,861590,1012500,9.87654320987654e-07,0.850953086419753,0.850953086419753,0.425477037037037,0.850258765432099,0.851625679012346,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
