function_type,sweep_type,source_summary,source_point,n,K,m,E2,ldpc_code_rate,ebno_db,false_positive_count,negative_trials,false_negative_count,positive_trials,fpr,fnr,max_fpr_fnr,fp_plus_fn_over_trials,channel_uses_per_bfc_decision,parallel_bfc_rate,frames,tuples,inference_status
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p0p0.mat,36,7,126,0.05,0.5,0,1330,45000,43394,45000,0.0295555555555556,0.964311111111111,0.964311111111111,0.496933333333333,72,0.0969066656041655,100,90000,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p0p25.mat,36,7,126,0.05,0.5,0.25,1337,45000,43247,45000,0.0297111111111111,0.961044444444444,0.961044444444444,0.495377777777778,72,0.0969066656041655,100,90000,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p0p5.mat,36,7,126,0.05,0.5,0.5,1314,45000,42747,45000,0.0292,0.949933333333333,0.949933333333333,0.489566666666667,72,0.0969066656041655,100,90000,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p0p75.mat,36,7,126,0.05,0.5,0.75,1320,45000,33421,45000,0.0293333333333333,0.742688888888889,0.742688888888889,0.386011111111111,72,0.0969066656041655,100,90000,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p1p0.mat,36,7,126,0.05,0.5,1,1381,46800,205,46800,0.029508547008547,0.00438034188034188,0.029508547008547,0.0169444444444444,72,0.0969066656041655,104,93600,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p1p25.mat,36,7,126,0.05,0.5,1.25,7501,255600,200,255600,0.0293466353677621,0.000782472613458529,0.0293466353677621,0.0150645539906103,72,0.0969066656041655,568,511200,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p1p5.mat,36,7,126,0.05,0.5,1.5,29523,1000800,147,1000800,0.0294994004796163,0.000146882494004796,0.0294994004796163,0.0148231414868106,72,0.0969066656041655,2224,2001600,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p1p75.mat,36,7,126,0.05,0.5,1.75,29523,1000800,49,1000800,0.0294994004796163,4.89608313349321e-05,0.0294994004796163,0.0147741806554756,72,0.0969066656041655,2224,2001600,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p2p0.mat,36,7,126,0.05,0.5,2,29525,1000800,13,1000800,0.0295013988808953,1.29896083133493e-05,0.0295013988808953,0.0147571942446043,72,0.0969066656041655,2224,2001600,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p2p25.mat,36,7,126,0.05,0.5,2.25,29525,1000800,2,1000800,0.0295013988808953,1.99840127897682e-06,0.0295013988808953,0.0147516986410871,72,0.0969066656041655,2224,2001600,pilot; adaptive/event-or-cap stopping
exact-threshold,e2,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/summary_noisy_channel_tradeoff.mat,results/noisy_channel_tradeoffs/server_full/exact-threshold/e2/E2_0p05_Rc_0p5/points/result_n_36_awgn_ebno_p2p5.mat,36,7,126,0.05,0.5,2.5,29525,1000800,1,1000800,0.0295013988808953,9.99200639488409e-07,0.0295013988808953,0.0147511990407674,72,0.0969066656041655,2224,2001600,pilot; adaptive/event-or-cap stopping
